"Credit Card Type","Loại thẻ tín dụng"
"Add New User","Thêm người dùng mới"
"Items that you don","Sản phẩm"
"State/Province","Tỉnh/Thành"
"Magento Commerce - Administrative Panel","Magento Commerce - Bảng quản trị"
"3 stars","3 sao"
"Credit Memo Date","Ngày tạo bản ghi nhớ tín dụng"
"Double click on a group to rename it","Nhấp chuột hai lần vào một nhóm để đổi tên"
"Rating Not Available","Không có đánh giá"
"Gift Certificate","Gift Certificate"
"Assigned Answers","Trả lời"
"Fax","Fax"
"Magento Admin","Magento Admin"
"Newsletter Message Preview","Xem trước bản tin"
"4 stars","4 sao"
"Company","Công ty"
"Invoice Date","Ngày tạo hóa đơn"
"Qty Returned","Số lượng hoàn trả"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Visitors","Người ghé thăm"
"Shipping Method","Phương thức vận chuyển"
"Subtotal","Tổng"
"5 stars","5 sao"
"Choose Store","Chọn cửa hàng"
"Import Tax Rates","Nhập thuế suất"
"Roles","Vai trò"
"If you do not specify an option value for a store then the default value will be used.","Nếu bạn không chọn giá trị cụ thể cho một cửa hàng, giá trị mặc định sẽ được chọn."
"Shipping","Vận chuyển"
"Select from existing customer addresses:","Chọn từ địa chỉ của khách hàng có sẵn:"
"Products","Sản phẩm"
"Edit User ","Chỉnh sửa người dùng "
"Item Status","Trạng thái sản phẩm"
"Set as default billing address","Cài đặt là địa chỉ thanh toán mặc định"
"Position","Vị trí"
"Items Ordered","Sản phẩm đã được đặt"
"Fixed","Cố định"
"%s","%s"
"Same as Billing Address","Giống địa chỉ thanh toán"
"Product In Stores","Sản phẩm trong cửa hàng"
"Working...","Đang làm việc..."
"Apply coupon code","Áp dụng mã giảm giá"
"per page","mỗi trang"
"Tax","Thuế"
"Telephone","Điện thoại"
"Wishlist","Danh sách yêu thích"
"Magento","Magento"
"Expiration Date","Ngày hết hạn"
"Add New Class","Thêm một cấp mới"
"Super product attributes configuration","Cấu hình thuộc tính sản phẩm"
"Previus page","Trang trước"
"Something went wrong...","Có lỗi..."
"Lifetime Sales","Toàn bộ doanh thu"
"SKU","SKU"
"Log Out","Đăng xuất"
"Failed","Thất bại"
"Billing Address","Địa chỉ thanh toán"
"Log into Magento Admin Page","Đăng nhập vào trang quản trị Magento"
"Invoice Status","Trạng thái hóa đơn"
"CC Type","Loại CC"
"Percentage","Phần trăm"
"Are you sure?","Bạn chắc chứ?"
"Email","Email"
"Customer Group:","Nhóm khách hàng:"
"Option","Tùy chọn"
"Primary Billing Address","Địa chỉ thanh toán sơ cấp"
"Create Backup","Tạo bản sao lưu"
"Manage Options (values for your attribute)","Quản lý tùy chọn (giá trị cho thuộc tính của bạn)"
"Total Due","Total Due"
"Copyright 2007","Bản quyền 2007"
"Newsletter Subscribers","Người đăng ký nhận bản tin"
"CC Number","Số CC"
"Add New Tax Rate","Thêm thuế suất"
"Product Name","Tên sản phẩm"
"Country","Quốc gia"
"Purchase order number","Số đơn đặt hàng"
"Date and Time","Ngày và thời gian"
"Categories","Loại mặt hàng"
"Qty Cancelled","Số lượng đã hủy"
"Card Verification Number","Số xác nhận thẻ"
"Order Date","Ngày đặt hàng"
"This tab contains invalid data. Please correct before saving.","Thẻ này chứa dữ liệu không có giá trị. Vui lòng sửa lại trước khi lưu."
"Customer Balance","Số dư của Khách hàng"
"Update Qty","Cập nhật số lượng"
"Customer Groups","Nhóm khách hàng"
"Export to","Xuất thành"
"configuration","Cấu hình"
"Sorry, no quotes are available for this order at this time.","Rất tiếc, không có báo giá nào cho đơn hàng ở thời điểm này."
"Options","Tùy chọn"
"Attribute Name","Tên thuộc tính"
"Total <strong>%d</strong> records found","Có tất cả <strong>%d</strong> dữ liệu tìm thấy"
"Comment","Bình luận"
"Set as default shipping address","Cài đặt là địa chỉ giao hàng"
"Last Name","Họ"
"of","của"
"Newsletter Problem Reports","Báo cáo vấn đề bản tin"
"Sales Statistics","Thống kê doanh thu"
"Qty To Return","Số lượng để hoàn trả"
"New Customer Address","Địa chỉ mới của khách hàng"
"Roles Resources","Nguồn vai trò"
"Zip/Post Code","Mã Bưu điện/Bưu chính"
"Order Status","Trạng thái đơn hàng"
"Store","Cửa hàng"
"Product Categories","Các loại mặt hàng"
"Online Customers","Khách hàng trực tuyến"
"Next page","Trang tiếp theo"
"Items Shipped","Sản phẩm để vận chuyển"
"Unassigned Attributes","Thuộc tính chưa phân quyền"
"Not Charged Yet","Chưa tính phí"
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","Nhóm này chứa các thuộc tính hệ thống. Vui lòng chuyển thuộc tính hệ thống tới một nhóm khác và thử lại."
"copy data from","Sao chép dữ liệu từ"
"Add","Thêm"
"Total Payed","Tổng đã thanh toán"
"Shopping Cart","Giỏ hàng"
"Order History","Lịch sử đơn hàng"
"Empty","Trống"
"Unable to complete request. Please, try again later.","Không thể hoàn thành yêu cầu. Vui lòng thử lại sau."
"Customers","Khách hàng"
"Customer does not have any addresses","Khách hàng chưa có địa chỉ nào"
"Add New Role","Thêm vai trò mới"
"Street Address","Địa chỉ Phố"
"Are You Sure?","Bạn chắc chứ?"
"Shipping Address","Địa chỉ giao hàng"
"Paid","Đã thanh toán"
"Page","Trang"
"Discount","Giảm giá"
"Set root category for this store in","Thiết lập danh mục gốc cho cửa hàng này tại"
"Groups","Nhóm"
"View","Xem"
"Qty Ordered","Số lượng đã đặt hàng"
"Global Record Search","Tìm kiếm"
"Card Number","Số thẻ"
"PO Number","Số PO"
"Grand Total","Tổng"
"Please select one or more attributes.","Vui lòng chọn một hoặc nhiều thuộc tính."
"Dashboard","Bảng điều khiển"
"Are you sure you want to do this?","Bạn chắc bạn muốn thực hiện điều này chứ?"
"Please add one or more options","Vui lòng thêm một hoặc nhiều tùy chọn"
"Role Users","Vai trò người dùng"
"Add New Tax Rule","Thêm quy tắc thuế mới"
"Subscribe to newsletter","Đăng ký nhận bản tin"
"Dashboard Control","Bảng điều khiển"
"Default Shipping","Vận chuyển mặc định"
"Qty","Số lượng"
"Add to Queue","Thêm vào danh sách đợi"
"Average Sale","Doanh thu trung bình"
"Cancel","Hủy"
"All stores","Tất cả cửa hàng"
"Personal Information","Thông tin cá nhân"
"City","Quận/Huyện"
"Export Tax Rates","Xuất quy tắc thuế"
"1 star","1 sao"
"Current Configuration Scope","Phạm vi cấu hình hiện tại"
"Add New Template","Thêm mẫu mới"
"Move to:","Chuyển tới:"
"First Name","Tên"
"Change Order Status","Thay đổi trạng thái đơn hàng"
"Are you sure you want to delete this address?","Bạn chắc bạn muốn xóa địa chỉ này chứ?"
"Are you sure you want to do it?","Bạn chắc chắn bạn muốn thực thiện điều này chứ?"
"Add to Order","Thêm vào đơn hàng"
"Product ID","ID Sản phẩm"
"Payment Method","Phương thức thanh toán"
"What is this?","Đây là gì?"
"Users","Người dùng"
"Customer Addresses","Địa chỉ Khách hàng"
"Qty Backordered","Số lượng giao trễ"
"You can not remove system attribute from this set.","Bạn không thể xóa thuộc tính hệ thống từ nhóm này."
"Price","Giá"
"Who","Ai"
"Rating Not Alvailable","Không có đánh giá"
"Order Comment","Bình luận đơn hàng"
"Edit Role","Chỉnh sửa vai trò"
"Tax Rates Import / Export","Xuất/Nhập thuế suất"
"Magento Logo","Logo Magento"
"A name is required","Tên là bắt buộc"
"Assigned options","Tùy chọn phân quyền"
"Please Enter New Group Name","Vui lòng điền tên nhóm mới"
"Name","Tên"
"Email Preview","Xem trước email"
"Newsletter Queue","Bản tin trong danh sách đợi"
"Remove","Xóa"
"Last Log In:","Đăng nhập lần cuối:"
"Logged in as <strong>%s</strong>","Đăng nhập là <strong>%s</strong>"
"Name on Card","Tên trên thẻ"
"All Stores","Toàn bộ cửa hàng"
"Send comment to customer","Gửi bình luận tới khách hàng"
"Account Created on:","Tài khoản được tạo vào:"
"Backups Control","Quản lý bản sao"
"Add New Address","Thêm địa chỉ mới"
"Account Created in:","Tài khoản được tạo vào:"
"Default Billing","Thanh toán mặc định"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (Kích thước, màu sắc...)"
"Please confirm site switching. All data not saved will be lost.","Vui lòng xác nhận chuyển trang. Tất cả dữ liệu chưa được lưu sẽ bị mất."
"Please select from each ratings above","Vui lòng chọn từ các đánh giá bên trên"
"Qty Shipped","Số lượng đã vận chuyển"
"Are you sure you want to cancel add this address?","Bạn có chắc bạn không muốn thêm địa chỉ này?"
"The information in this tab has been changed.","Thông tin trong thẻ này đã được thay đổi."
"2 stars","2 sao"
"Apply","Áp dụng"
"Total","Tổng"
"User roles","Vai trò người dùng"
"Wishlist Report","Báo cáo danh sách yêu thích"
